"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ARCO","Arcos Dorados Holdings Inc.","8","1685687968","n/a","Argentina","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arco",
"BFR","BBVA Banco Frances S.A.","18.45","3301798771.35","n/a","Argentina","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bfr",
"CRESY","Cresud S.A.C.I.F. y A.","21.19","1062981093.2","n/a","Argentina","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cresy",
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","35.96","1629806269.8","n/a","Argentina","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/edn",
"GGAL","Grupo Financiero Galicia S.A.","39.46","5130844072.14","n/a","Argentina","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ggal",
"IRS","IRSA Inversiones Y Representaciones S.A.","25.5","1475624973","n/a","Argentina","n/a","Consumer Services","Homebuilding","http://www.nasdaq.com/symbol/irs",
"IRCP","IRSA Propiedades Comerciales S.A.","47.5","1496416820","n/a","Argentina","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/ircp",
"BMA","Macro Bank Inc.","86.2","5038933232.4","n/a","Argentina","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bma",
"MELI","MercadoLibre, Inc.","230.63","10184012859.32","n/a","Argentina","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/meli",
"NTL","Nortel Inversora SA","27.71","3769033841","n/a","Argentina","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ntl",
"PAM","Pampa Energia S.A.","57.74","4241568101.38","n/a","Argentina","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/pam",
"PZE","Petrobras Argentina S.A.","11.93","2408667000","n/a","Argentina","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pze",
"TEO","Telecom Argentina Stet - France Telecom S.A.","23.03","4534058770.85","n/a","Argentina","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/teo",
"TGS","Transportadora De Gas Sa Ord B","15.24","2421621613.44","n/a","Argentina","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tgs",
"YPF","YPF Sociedad Anonima","25.55","10049141861.15","n/a","Argentina","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/ypf",
