Date,ARCO,BFR,CRESY,EDN,GGAL,IRS,IRCP,BMA,MELI,NTL,PAM,PZE,TEO,TGS,YPF
2013-01-02 00:00:00+00:00,11.680268,5.119577,18.164393,8.325968,2.0,6.989902,12.450062,6.772811,80.636813,11.846295,3.51,4.908261,10.321181,1.516204,14.549106
2013-01-03 00:00:00+00:00,12.202131,5.090266,17.802059,8.430514,2.0,6.900795,12.450062,6.95006,81.087626,11.870636,3.58,5.006035,10.516883,1.576508,14.490676
2013-01-04 00:00:00+00:00,13.018138,4.992565,17.392049,8.497047,2.0,6.831491,12.665513,6.968718,81.13663,11.911206,3.73,5.015813,10.550919,1.576508,14.480938
2013-01-07 00:00:00+00:00,12.923253,5.070726,17.811595,8.535061,2.0,6.732484,12.750156,7.453823,80.970027,11.919319,3.79,5.054923,10.678551,1.576508,14.558845
2013-01-08 00:00:00+00:00,12.809392,4.992565,17.372978,8.078851,1.99,6.623576,12.750156,7.509797,81.763849,11.846295,3.74,5.182029,10.508375,1.602352,15.289221
2013-01-09 00:00:00+00:00,13.217395,4.973024,17.382514,8.297448,2.08,6.702781,12.042241,7.593757,84.772538,12.122167,3.79,5.182029,10.601972,1.654041,15.055501
2013-01-10 00:00:00+00:00,13.217395,5.012105,17.258558,8.363981,2.55,6.781987,12.388504,7.715034,84.566733,11.992345,4.01,5.0647,10.618989,1.619582,14.967856
2013-01-11 00:00:00+00:00,13.236371,5.090266,17.35391,8.411507,2.48,6.613675,12.265388,7.724362,84.831338,12.089711,3.89,4.830042,10.755131,1.619582,14.76335
2013-01-14 00:00:00+00:00,13.103534,5.002334,17.220417,8.354478,2.31,6.534469,12.249999,7.631073,85.223351,12.170851,3.84,4.937594,11.052938,1.628197,14.792565
2013-01-15 00:00:00+00:00,13.179441,4.826471,16.591099,8.259435,2.23,6.356257,12.157663,7.649731,85.487963,12.122167,3.71,4.869152,11.206097,1.585123,14.70492
2013-01-16 00:00:00+00:00,13.226883,4.875322,16.762732,8.154888,2.54,6.435462,12.311557,7.715034,85.06655,12.365584,4.0,4.839819,11.393291,1.610967,14.695182
2013-01-17 00:00:00+00:00,13.094045,4.963254,17.210881,8.316465,2.64,6.514668,12.311557,7.771007,85.958373,12.698254,3.9,4.878929,11.82724,1.567893,14.617275
2013-01-18 00:00:00+00:00,12.970695,4.816701,17.201348,8.677631,2.5,6.445363,12.296167,8.246783,86.48759,12.933557,3.88,4.937594,12.227154,1.628197,14.617275
2013-01-22 00:00:00+00:00,12.951718,4.992565,17.392049,9.048311,2.52,6.801788,12.173052,8.843835,85.801572,13.103949,4.13,4.927816,12.346277,1.619582,14.821781
2013-01-23 00:00:00+00:00,12.961207,4.914403,17.191813,8.649121,2.64,6.653278,12.234609,8.517322,85.801572,13.249999,4.02,4.839819,12.550488,1.593737,14.70492
2013-01-24 00:00:00+00:00,13.094045,4.855782,17.067855,8.639618,2.96,6.445363,12.296167,8.26544,85.968175,13.039038,4.18,4.878929,12.4654,1.602352,15.074977
2013-01-25 00:00:00+00:00,13.150975,4.797161,16.55296,8.573084,2.82,6.484966,12.296167,8.209467,87.457817,13.176974,4.25,4.839819,12.839788,1.671271,15.094454
2013-01-28 00:00:00+00:00,13.160464,4.689689,16.181089,8.487544,2.8,6.465165,12.157663,8.237454,85.919171,13.217545,4.17,5.006035,13.052508,1.654041,15.318436
2013-01-29 00:00:00+00:00,13.094045,4.787391,16.55296,8.573084,2.93,6.40576,12.311557,8.312085,85.360554,13.233771,4.36,5.142919,13.163123,1.679885,16.993435
2013-01-30 00:00:00+00:00,13.008649,4.621297,16.381327,9.171864,2.98,6.40576,12.311557,8.396046,83.910115,13.249999,4.19,5.182029,12.848297,1.6885,16.915528
2013-01-31 00:00:00+00:00,13.037114,4.631067,15.875966,9.076821,2.83,6.574072,12.180746,8.256112,86.634596,13.379822,4.31,5.260248,13.503474,1.628197,16.516254
2013-02-01 00:00:00+00:00,13.521025,4.76785,16.982039,9.152857,2.85,6.475065,12.234609,8.125507,85.654566,13.103949,4.34,5.221139,13.546019,1.654041,16.652592
2013-02-04 00:00:00+00:00,13.331256,4.523596,16.085739,9.029304,2.79,5.890923,12.234609,8.022889,84.409925,13.185088,4.15,5.182029,13.39286,1.654041,16.379917
2013-02-05 00:00:00+00:00,13.312279,4.572446,16.114344,9.285924,2.73,6.286952,12.373115,8.125507,85.291953,13.306796,4.03,5.172251,13.546019,1.662656,16.311749
2013-02-06 00:00:00+00:00,13.388186,4.533366,16.133414,9.152857,2.7,6.118639,12.52701,8.256112,85.889771,13.079608,3.92,5.465574,13.290754,1.645426,16.555208
2013-02-07 00:00:00+00:00,13.359721,4.494285,15.723404,8.839207,2.6,5.871122,12.688598,7.994901,84.125715,12.892988,3.87,5.641567,13.486457,1.671271,16.36044
2013-02-08 00:00:00+00:00,12.989672,4.552906,15.837826,8.649121,2.62,5.831519,12.834798,7.873625,82.05786,12.552204,3.88,5.700232,12.882332,1.619582,16.496778
2013-02-11 00:00:00+00:00,12.524738,4.679918,15.895036,8.582588,2.53,5.84142,13.065639,7.966915,82.27346,12.381812,3.83,5.573125,12.907858,1.628197,16.029336
2013-02-12 00:00:00+00:00,12.534227,4.73854,15.952247,8.430514,2.53,5.900824,13.104114,7.948257,81.322838,12.276331,3.81,5.641567,12.797244,1.619582,16.009861
2013-02-13 00:00:00+00:00,12.259062,4.660378,16.066669,8.221411,2.51,5.940427,12.819408,7.724362,81.332633,12.35747,3.8,5.817561,12.805753,1.654041,16.302011
2013-02-14 00:00:00+00:00,12.078782,4.75808,16.038063,8.278441,2.6,5.930526,13.004082,7.798993,81.950056,12.089711,3.83,5.846893,12.558997,1.619582,16.263058
2013-02-15 00:00:00+00:00,12.078782,4.699459,15.980853,8.154888,2.74,5.801817,13.642744,7.687046,81.656045,11.927433,3.86,5.690455,12.61005,1.533434,16.097506
2013-02-19 00:00:00+00:00,12.363435,4.572446,15.771081,8.373484,2.64,5.494895,13.550408,7.780336,83.204493,12.008573,3.81,5.55357,12.686629,1.567893,15.892999
2013-02-20 00:00:00+00:00,12.249574,4.396583,15.151298,8.050331,2.56,5.663207,13.573491,7.687046,82.342062,11.805725,3.77,5.270025,12.354786,1.593737,15.844308
2013-02-21 00:00:00+00:00,12.249574,4.22072,14.254996,8.059834,2.45,5.415689,13.19645,7.761678,82.538073,11.505511,3.63,5.172251,12.25268,1.550663,14.841257
2013-02-22 00:00:00+00:00,12.297016,4.328192,14.235927,8.192901,2.54,5.732512,13.19645,7.74302,83.420101,11.675903,3.62,5.309135,12.184609,1.49036,14.792565
2013-02-25 00:00:00+00:00,12.192644,4.20118,13.968943,8.002814,2.42,5.475093,13.111809,7.640401,82.871279,11.351347,3.86,4.966926,11.920837,1.455901,14.549106
2013-02-26 00:00:00+00:00,12.145201,4.142558,14.445699,8.069347,2.31,5.544398,13.381123,7.668389,82.351865,11.554194,3.8,4.927816,12.133557,1.498975,14.218003
