Date,CRESY,EDN,IRS,NTL,PZE
2016-01-04 00:00:00+00:00,12.63,16.99,12.06,14.063548,5.45
2016-01-05 00:00:00+00:00,12.45,17.16,12.01,14.58618,5.42
2016-01-06 00:00:00+00:00,11.79,17.34,10.81,14.633691,5.65
2016-01-07 00:00:00+00:00,11.24,17.120001,10.15,14.073051,5.69
2016-01-08 00:00:00+00:00,10.9,16.75,9.97,14.225089,5.78
2016-01-11 00:00:00+00:00,10.74,16.9,10.15,14.177577,5.65
2016-01-12 00:00:00+00:00,10.69,16.85,9.83,14.529165,5.57
2016-01-13 00:00:00+00:00,10.2,16.26,9.64,15.194333,5.37
2016-01-14 00:00:00+00:00,10.19,16.43,9.34,14.94727,5.52
2016-01-15 00:00:00+00:00,9.78,16.110001,8.99,14.728716,5.77
2016-01-19 00:00:00+00:00,9.42,16.01,8.6,13.825988,5.54
2016-01-20 00:00:00+00:00,9.55,16.129999,8.65,13.43639,5.46
2016-01-21 00:00:00+00:00,9.22,16.35,9.12,13.597931,5.44
2016-01-22 00:00:00+00:00,9.66,16.879999,9.48,13.787979,5.69
2016-01-25 00:00:00+00:00,9.64,16.719999,9.48,13.768973,5.51
2016-01-26 00:00:00+00:00,9.72,17.09,9.55,13.854495,5.85
2016-01-27 00:00:00+00:00,9.69,17.809999,9.55,13.806983,5.99
2016-01-28 00:00:00+00:00,9.87,18.15,9.69,14.139567,5.99
2016-01-29 00:00:00+00:00,10.91,18.74,11.18,14.120562,6.0
2016-02-01 00:00:00+00:00,10.37,17.620001,10.32,13.749969,5.95
2016-02-02 00:00:00+00:00,9.97,17.059999,9.85,14.11106,5.87
2016-02-03 00:00:00+00:00,9.75,17.25,9.9,14.643194,5.98
2016-02-04 00:00:00+00:00,9.85,16.99,10.31,14.700209,6.18
2016-02-05 00:00:00+00:00,10.0,16.85,10.76,15.051797,6.01
2016-02-08 00:00:00+00:00,9.5,17.9,10.09,14.82374,5.95
2016-02-09 00:00:00+00:00,9.76,16.68,10.14,14.538668,5.76
2016-02-10 00:00:00+00:00,9.7,16.360001,10.27,15.203835,5.95
2016-02-11 00:00:00+00:00,9.55,16.309999,10.13,14.662199,5.89
2016-02-12 00:00:00+00:00,10.19,16.32,10.59,14.282103,5.9
2016-02-16 00:00:00+00:00,10.39,16.120001,10.57,14.643194,5.99
2016-02-17 00:00:00+00:00,10.35,16.379999,10.2,15.583931,6.15
2016-02-18 00:00:00+00:00,10.32,16.190001,10.49,15.517415,6.33
2016-02-19 00:00:00+00:00,10.44,16.17,10.51,16.106564,6.33
2016-02-22 00:00:00+00:00,10.73,16.629999,11.16,16.809741,6.49
2016-02-23 00:00:00+00:00,10.44,15.89,10.74,16.961779,6.42
2016-02-24 00:00:00+00:00,11.02,16.33,11.86,16.657703,6.45
2016-02-25 00:00:00+00:00,11.42,16.82,11.9,17.626946,6.45
2016-02-26 00:00:00+00:00,11.51,16.950001,12.92,17.655454,6.43
2016-02-29 00:00:00+00:00,11.86,16.879999,13.93,17.636449,6.24
2016-03-01 00:00:00+00:00,11.87,16.82,13.94,17.655454,6.21
2016-03-02 00:00:00+00:00,11.45,16.48,13.24,17.95953,6.42
2016-03-03 00:00:00+00:00,11.35,16.290001,12.86,17.778984,6.34
2016-03-04 00:00:00+00:00,11.85,16.01,13.11,18.178085,6.44
2016-03-07 00:00:00+00:00,11.69,15.79,13.54,18.054555,6.38
2016-03-08 00:00:00+00:00,11.61,15.5,13.28,18.529675,6.36
2016-03-09 00:00:00+00:00,11.6,15.53,13.57,18.31112,6.31
2016-03-10 00:00:00+00:00,11.36,15.87,13.14,19.137827,6.37
2016-03-11 00:00:00+00:00,11.53,15.74,13.09,18.339626,6.31
2016-03-14 00:00:00+00:00,11.35,15.25,12.97,18.738727,6.22
2016-03-15 00:00:00+00:00,11.34,15.09,12.95,18.957283,6.27
2016-03-16 00:00:00+00:00,11.24,15.36,13.09,19.717474,6.49
2016-03-17 00:00:00+00:00,11.55,15.82,13.74,19.194843,6.57
2016-03-18 00:00:00+00:00,11.33,15.85,13.5,19.194843,6.57
2016-03-21 00:00:00+00:00,11.4,15.72,13.81,18.691215,6.5
2016-03-22 00:00:00+00:00,11.64,15.3,14.49,18.681713,6.48
2016-03-23 00:00:00+00:00,11.77,15.41,14.41,18.938278,6.49
2016-03-24 00:00:00+00:00,11.76,15.64,14.24,18.78624,6.5
2016-03-28 00:00:00+00:00,11.49,15.36,14.31,18.31112,6.4
2016-03-29 00:00:00+00:00,11.25,15.5,14.28,18.529675,6.48
2016-03-30 00:00:00+00:00,11.22,15.49,14.29,18.529675,6.54
2016-03-31 00:00:00+00:00,11.64,16.700001,14.96,17.95953,6.55
2016-04-01 00:00:00+00:00,11.28,16.799999,14.43,18.064057,6.57
2016-04-04 00:00:00+00:00,10.92,16.5,14.34,18.054555,6.49
2016-04-05 00:00:00+00:00,10.64,16.049999,14.06,18.330125,6.44
2016-04-06 00:00:00+00:00,10.51,15.51,14.11,18.330125,6.42
2016-04-07 00:00:00+00:00,10.34,15.27,14.25,18.330125,6.3
2016-04-08 00:00:00+00:00,10.46,15.21,14.62,17.379885,6.38
2016-04-11 00:00:00+00:00,10.74,14.85,14.95,18.244603,6.45
2016-04-12 00:00:00+00:00,10.73,14.91,14.83,18.995292,6.49
2016-04-13 00:00:00+00:00,10.9,15.55,14.95,18.833751,6.49
2016-04-14 00:00:00+00:00,11.08,15.8,15.2,19.004794,6.51
2016-04-15 00:00:00+00:00,11.07,15.86,15.15,19.004794,6.58
2016-04-18 00:00:00+00:00,10.75,15.62,14.85,18.90977,6.65
2016-04-19 00:00:00+00:00,11.2,16.040001,15.17,19.289866,6.69
2016-04-20 00:00:00+00:00,10.97,16.5,14.69,20.506173,6.7
2016-04-21 00:00:00+00:00,10.95,16.33,14.95,21.855514,6.65
